Date,BBP_20_2.0,RSI_14,MACDh_12_26_9,MACD_12_26_9,STOCHd_14_3_3,STOCHk_14_3_3,BBB_20_2.0,ATRr_14,MACDs_12_26_9,Close,Gamma
2014-09-11,0.4145864630394882,44.5978584549452,0.0020256973408282,-0.0018528650084837,134.73874950967988,149.11891105937832,13.07674027855043,0.0649825419573767,-0.003878562349312,0.2948240615104229,-1
2014-09-12,0.1717753595903957,39.297849292040056,0.000608689955484,-0.003117699904957,151.43011555728603,173.00042452556193,13.677682879850796,0.0645520749324356,-0.003726389860441,0.2838692189906909,-1
2014-09-15,0.0506607726482187,35.982365120197294,-0.0007807334120872,-0.00470230662555,177.452751549694,210.23891906414175,14.955632552531752,0.0641571827357166,-0.0039215732134628,0.2759821417757682,-1
2014-09-16,0.2851010293380461,42.24973618382239,-0.0009737083565849,-0.005138708659194,202.03018143963632,222.8512007292053,15.154194005166383,0.0644256397391693,-0.004165000302609,0.2854028741990487,1
2014-09-17,0.2398217976948963,40.84758822340744,-0.0012013877270153,-0.0056667349613783,219.8227000105968,226.37798023844329,15.63670286317488,0.0646051457883561,-0.0044653472343629,0.2823356775043565,-1
2014-09-18,0.2520814541295086,40.64011832770412,-0.0012683637153459,-0.0060508018785453,222.78900446726823,219.1378324341563,16.087832094724217,0.0649909209052089,-0.0047824381631994,0.2818975634089837,1
2014-09-19,0.1429406346270534,37.27534492393541,-0.0016616647140577,-0.0068595190557715,225.9310893246569,232.2774553013712,17.046410841185562,0.0647342208468985,-0.0051978543417138,0.2746674014625676,-1
2014-09-22,0.1576825377538866,36.87678617816828,-0.001829612826927,-0.0074848703753726,231.38365027555776,242.7356630911457,17.957567796758177,0.0649979331890146,-0.0056552575484455,0.2737910026887866,-1
2014-09-23,0.0870649073134882,34.03553622312709,-0.0021928852837773,-0.0083963641531673,252.26969019749345,281.79595219996327,19.4080787695546,0.0650802734630969,-0.0062034788693899,0.2674373532381749,-1
2014-09-24,0.2922538886637453,42.29135776998652,-0.0015499616194891,-0.0081409308937513,271.4193452579405,289.7264204827126,19.76190099094816,0.06536182761394,-0.0065909692742622,0.2783920820358835,1
2014-09-25,0.2418169533539617,40.33428791138502,-0.0012573240427394,-0.0081626243276864,289.53222293118347,297.07429611087446,20.35969655745799,0.0656682654343415,-0.006905300284947,0.2744484297063987,-1
2014-09-26,0.2651461740829585,41.30934692445091,-0.0008611391438442,-0.0079817242147523,278.6632874164161,249.1891456556613,20.403698516906942,0.0658809184134368,-0.0071205850709081,0.2757631131585877,-1
2014-09-29,0.1328749693328988,36.30461099843711,-0.0011599484321543,-0.008570520611101,264.8016827524488,248.14160649081063,21.751022926613214,0.065790055304395,-0.0074105721789467,0.2654651859073622,-1
2014-09-30,0.2688778045815397,41.50095242572908,-0.0007714422273179,-0.0083748749630941,240.5614537082154,224.3536089781743,21.914632260992043,0.0660612375641265,-0.0076034327357762,0.2724762055145742,1
2014-10-01,0.1145797740369086,36.05646812463339,-0.0011871657877312,-0.0090873899704403,231.36487700187303,221.59941553663415,21.848675838830005,0.0658539281895081,-0.007900224182709,0.2604263904919745,-1
2014-10-02,0.0947969933974593,34.37851057835852,-0.0015791386927948,-0.0098741475487025,215.9557095984683,201.9141042805965,22.397881904961427,0.0653747467854237,-0.0082950088559077,0.256263538962274,-1
2014-10-03,0.2878331030037857,42.15934537823978,-0.0009533279208503,-0.0094866687569706,205.17131560577909,192.00042700010655,20.37429126421632,0.0656723095094387,-0.0085333408361203,0.2674373532381749,1
2014-10-06,0.4210723460693468,46.07476776853619,-2.783492386818423e-05,-0.0085681344909555,191.3221769629732,180.0519996082165,18.03982960506908,0.0662705695014499,-0.0085402995670873,0.2737910026887866,1
2014-10-07,0.3096752987089807,42.94412266066377,0.0002260905258646,-0.0082576864097565,179.87522421776748,167.57324604497936,16.12580841768684,0.0661999503351822,-0.0084837769356212,0.2674373532381749,-1
2014-10-08,0.4915175127928256,46.95908716843688,0.0008701883449279,-0.0073960415044613,169.2860945849884,160.23303810176932,12.717992073866778,0.0664015134227073,-0.0082662298493892,0.2740099744449555,1
2014-10-09,0.1014575947715874,40.423748238296426,0.0004088020386852,-0.0077552273010326,162.48392794563466,159.64549969015533,11.57703150491603,0.0657203570242286,-0.0081640293397179,0.2599881626745782,-1
2014-10-10,-0.2297449220201109,33.647134417064194,-0.0010298624699975,-0.0094513574272148,164.28768882295196,172.9845286769312,14.838165557437,0.0652156305888439,-0.0084214949572173,0.2411457880518297,-1
2014-10-13,0.1339561040970278,40.84922121839825,-0.0009898388413512,-0.0096587935089063,171.17307034288103,180.88918266155656,15.690101213584873,0.066618761309604,-0.0086689546675551,0.2538536555631705,1
2014-10-14,0.1660751559741682,40.84922121839825,-0.000833830613661,-0.0097112429346314,181.00351397266655,189.136830579512,15.536237599462009,0.0669134432335715,-0.0088774123209703,0.2538536555631705,-1
2014-10-15,0.0134236902679812,37.36233610200069,-0.0012126450200746,-0.0103932185960636,187.56497998033436,192.6689266999344,16.556254264370295,0.0661712475710148,-0.009180573575989,0.2444324113907845,-1
2014-10-16,-0.0931232537314402,33.95109579806398,-0.0019599691592368,-0.011630535025035,205.85699193952476,235.7652185391278,18.76671897610387,0.0660075442835223,-0.0096705658657982,0.2341349958886645,1
2014-10-17,0.0391799335870338,35.69992153063692,-0.0020556899787019,-0.0122401783391756,234.3201370405542,274.5262658826005,20.402536214425684,0.066505029169678,-0.0101844883604737,0.236983391410223,-1
2014-10-20,0.1145211920326272,36.535177472399326,-0.0018311732054587,-0.0124734548672971,268.4237255310821,294.9796921715181,21.472024744728696,0.0668254441235806,-0.0106422816618383,0.238298074862412,1
2014-10-21,0.3940121608365358,45.21939739154199,-0.000546668302569,-0.0113256170400497,278.49151479435386,265.96858632894305,21.462276035474822,0.0678143886918699,-0.0107789487374806,0.2531962285455584,1
2014-10-22,0.2934894150664442,42.37281666830076,-4.807675201001782e-05,-0.0108390446774931,270.85937399349683,251.6298434800295,20.848445077437404,0.0678210162284613,-0.0107909679254831,0.2464044081385621,-1
2014-10-23,0.357318577540466,43.72653299412105,0.0005191342449171,-0.0101420501193367,251.0741272268151,235.62395187147288,20.22720939079885,0.0682316267288825,-0.0106611843642538,0.2488144621207008,-1
2014-10-24,0.5468216643967381,48.467017024168456,0.0015039014102069,-0.0087813076014952,238.73623982448328,228.95492412194747,19.06114633323424,0.0686274336272025,-0.0102852090117021,0.257577994970416,-1
2014-10-27,0.335613529989334,43.442110328924336,0.0014229934735114,-0.0085064671698128,224.92550656076617,210.19764368887823,18.99510197286973,0.0687046162334253,-0.0099294606433242,0.2464044081385621,1
2014-10-28,0.6459961365069385,50.39280024964235,0.0022830614301765,-0.0070756338556036,204.44419727416536,174.1800240116704,18.03831236436849,0.0694398356274888,-0.0093586952857801,0.2604263904919745,1
2014-10-29,0.5371742865933232,48.01006125766536,0.0024522111299374,-0.0062934313733583,176.48623274250997,145.08103052698127,17.904652803937246,0.0693369358202014,-0.0087456425032957,0.255168225293336,-1
2014-10-30,0.7687319443924248,53.176105034759615,0.0032364788962397,-0.0047000438829961,144.295092512332,113.62422299834432,18.408588203670902,0.0700615718140154,-0.0079365227792358,0.2665610681864174,1
2014-10-31,0.8789443417331597,55.64067478742383,0.0040082271752709,-0.0029262388101471,119.88165191107964,100.93970220791338,18.919675357646096,0.0699637261427338,-0.0069344659854181,0.2724762055145742,1
2014-11-03,0.844597818277231,54.49668862033933,0.0042052492659646,-0.0016779044029623,103.8668877901829,97.03673816429108,18.517965403675948,0.0695020064919938,-0.0058831536689269,0.2702856350377099,1
2014-11-04,0.746430536255617,51.96475549746892,0.0038542985670462,-0.0010652804601191,100.13904356269316,102.44069031587505,18.36032791112737,0.0692877012388099,-0.0049195790271654,0.2654651859073622,-1
